date,side,price,shares,amount,reason,profit_pct
2010-08-12,BUY,0.2104712277650833,142537.2974660669,30000.0,Dip1(-10%),
2010-08-24,BUY,0.19116871058940887,50870.60066872409,9724.867136748704,RSI35_보너스(+10%),
2010-09-13,SELL,0.24093998968601227,71268.64873303345,17171.46749067311,TP1(+15%),
2011-01-14,SELL,0.41962867975234985,49888.05411312341,20934.458282903764,TP2(+100%),
2011-06-17,SELL,0.34452593326568604,72251.19528863413,24892.410486378012,DC_비상탈출,
2011-08-08,BUY,0.27753567695617676,133251.48371033164,36982.040736961855,Dip1(-10%),
2011-08-08,BUY,0.27753567695617676,66625.74185516582,18491.020368480928,RSI25_보너스(+15%),
2011-08-09,BUY,0.31554633378982544,41474.395275404066,13087.09337530381,RSI35_보너스(+10%),
2011-08-15,SELL,0.3359408378601074,66625.74185516582,22382.307541875634,TP1(+15%),
2011-10-28,BUY,0.40655317902565,189632.31912022797,77095.62218433524,GC_풀매수,
2011-11-01,SELL,0.35648468136787415,364358.19810596365,129888.11615557721,DC_비상탈출,
2011-11-23,BUY,0.29549869894981384,131866.68836498345,38966.43484667317,Dip1(-10%),
2011-11-25,BUY,0.2887999415397644,44669.25183985577,12900.47731997536,RSI35_보너스(+10%),
2011-11-30,SELL,0.3472049832344055,65933.34418249172,22892.38566147033,TP1(+15%),
2012-01-12,BUY,0.3851661682128906,262000.1391052125,100913.58965039902,GC_풀매수,
2012-11-08,SELL,0.4650573134422302,372602.73512756,173281.62697964994,DC_비상탈출,
2012-11-08,BUY,0.4650573134422302,111780.82053826799,51984.48809389498,Dip1(-10%),
2012-11-08,BUY,0.4650573134422302,37260.273512756,17328.162697964995,RSI35_보너스(+10%),
2012-12-18,SELL,0.539887547492981,55890.410269133994,30174.53652857927,TP1(+15%),
2013-01-04,BUY,0.5481249690055847,244731.6219871065,134143.51271636924,GC_풀매수,
2013-11-14,SELL,1.0583378076553345,39123.28718839379,41405.65399123472,TP2(+100%),
2015-07-16,SELL,2.3924245834350586,298759.0185806027,714758.4205751654,TP3(+350%),
2015-08-21,BUY,1.825296401977539,124280.75907241696,226849.22236992005,Dip1(-10%),
2015-08-21,BUY,1.825296401977539,41426.91969080565,75616.40745664001,RSI35_보너스(+10%),
2015-08-24,SELL,1.6090489625930786,165707.6787632226,266631.76860767044,DC_비상탈출,
2015-08-24,BUY,1.6090489625930786,134302.35438951253,216099.06400425316,Dip1(-10%),
2015-08-24,BUY,1.6090489625930786,67151.17719475627,108049.53200212658,RSI25_보너스(+15%),
2015-08-25,BUY,1.5878009796142578,45096.944852077286,71604.97321373847,RSI35_보너스(+10%),
2015-08-27,SELL,1.9589365720748901,67151.17719475627,131544.8968646894,TP1(+15%),
2015-10-23,BUY,2.3407955169677734,194857.49083411344,456121.54099208175,GC_풀매수,
2016-01-06,SELL,2.054054021835327,374256.79007570323,768743.664854178,DC_비상탈출,
2016-01-13,BUY,1.6944355964660645,136106.14645799683,230623.09945625337,Dip1(-10%),
2016-01-13,BUY,1.6944355964660645,45368.71548599895,76874.3664854178,RSI35_보너스(+10%),
2016-03-21,SELL,1.9603271484375,68053.07322899842,133406.28698541084,TP1(+15%),
2016-04-15,BUY,2.109853744506836,281845.3589241152,594652.4858979176,GC_풀매수,
2016-04-26,SELL,1.9851484298706055,395267.14763911255,784663.957515217,DC_비상탈출,
2016-06-27,BUY,1.6509476900100708,142584.2797315578,235399.1872545651,Dip1(-10%),
2016-06-27,BUY,1.6509476900100708,47528.0932438526,78466.3957515217,RSI35_보너스(+10%),
2016-06-30,SELL,1.91266930103302,71292.1398657789,136358.2873262276,TP1(+15%),
2016-07-11,BUY,2.0939674377441406,289955.1592308694,607156.6618353579,GC_풀매수,
2017-05-08,SELL,3.9353482723236084,49904.497906045224,196391.57961573222,TP2(+100%),
2018-10-10,BUY,6.644697189331055,29556.136874237854,196391.57961573222,RSI25_보너스(+15%),
2018-10-16,SELL,7.2261247634887695,388427.0313086935,2806822.189748178,DC_비상탈출,
2018-10-24,BUY,5.828557014465332,144469.1464516276,842046.6569244533,Dip1(-10%),
2018-10-24,BUY,5.828557014465332,48156.38215054253,280682.2189748178,RSI35_보너스(+10%),
2018-11-07,SELL,6.8472442626953125,72234.5732258138,494607.767088698,TP1(+15%),
2018-12-24,BUY,3.6208064556121826,385084.6680766239,1394317.0521291143,Dip2(-22%),
2019-03-20,BUY,6.804027557373047,115282.3121591429,784384.0288084901,GC_풀매수,
2019-05-24,SELL,6.451951026916504,620757.9356121231,4005099.800139207,DC_비상탈출,
2019-06-03,BUY,5.6105475425720215,214155.55806714532,1201529.940041762,Dip1(-10%),
2019-06-03,BUY,5.6105475425720215,71385.18602238178,400509.9800139207,RSI35_보너스(+10%),
2019-06-07,SELL,6.703774929046631,107077.77903357266,717825.3305432594,TP1(+15%),
2019-06-11,BUY,6.974695205688477,447458.29295614624,3120885.210626783,GC_풀매수,
2020-02-10,SELL,13.238088607788086,74954.44532350086,992253.5887401117,TP2(+100%),
2020-03-11,SELL,7.36165714263916,550966.8126885998,4056028.771986163,DC_비상탈출,
2020-03-11,BUY,7.36165714263916,205726.05853183466,1514484.7082178826,Dip1(-10%),
2020-03-11,BUY,7.36165714263916,68575.35284394489,504828.2360726275,RSI35_보너스(+10%),
2020-03-12,BUY,5.3439459800720215,314472.3057412872,1680523.0141101314,Dip2(-22%),
2020-04-14,SELL,7.6302876472473145,102863.02926591733,784874.501566168,TP1(+15%),
2020-05-11,BUY,9.151329040527344,233115.9653908444,2133320.9038918014,GC_풀매수,
2020-07-20,SELL,14.489307403564453,72004.12048614213,1043289.8360470061,TP2(+100%),
2021-07-23,SELL,32.60810852050781,647022.5327558517,21098180.963316634,TP3(+350%),
2022-01-20,BUY,29.55169105529785,224773.64247547096,6642441.239809092,Dip1(-10%),
2022-01-20,BUY,29.55169105529785,74924.54749182366,2214147.079936364,RSI35_보너스(+10%),
2022-01-21,SELL,27.063579559326172,299698.18996729463,8110905.807965927,DC_비상탈출,
2022-01-21,BUY,27.063579559326172,237172.48755674384,6418736.486275233,Dip1(-10%),
2022-01-21,BUY,27.063579559326172,79057.49585224794,2139578.828758411,RSI35_보너스(+10%),
2022-01-27,BUY,24.623226165771484,125637.93571715779,3093611.3061642353,RSI25_보너스(+15%),
2022-02-02,SELL,30.80290985107422,118586.24377837192,3652801.376682701,TP1(+15%),
2022-04-29,BUY,17.445432662963867,440558.14889188064,7685727.520613313,Dip2(-22%),
2023-03-22,BUY,11.916533470153809,479244.70121778693,5710935.52245562,GC_풀매수,
2024-06-13,SELL,35.82173156738281,83010.37064486033,2973575.214549141,TP2(+100%),
2025-03-05,SELL,35.649837493896484,1160074.1548125849,41356455.09993796,DC_비상탈출,
2025-03-10,BUY,29.610008239746094,449138.9866111084,13299009.09434613,Dip1(-10%),
2025-03-10,BUY,29.610008239746094,149712.99553703613,4433003.03144871,RSI35_보너스(+10%),
2025-04-04,BUY,20.402353286743164,285378.9022477612,5822401.184241767,RSI25_보너스(+15%),
2025-04-08,BUY,19.314958572387695,487666.9550004191,9419267.03295555,Dip2(-22%),
2025-05-01,SELL,28.18792152404785,224569.4933055542,6330147.2539921515,TP1(+15%),
2025-05-20,BUY,35.19890594482422,502472.9249599812,17686497.225487094,GC_풀매수,
2025-05-21,SELL,33.7341423034668,1649801.271050752,55654630.85006646,DC_비상탈출,
2026-03-27,BUY,38.779998779296875,430541.2527226145,16696389.255019939,Dip1(-10%),
2026-03-27,BUY,38.779998779296875,143513.75090753817,5565463.085006646,RSI35_보너스(+10%),
2026-04-08,SELL,48.0,215270.62636130725,10332990.065342749,TP1(+15%),
2026-04-14,BUY,53.40999984741211,818681.308749363,43725768.57538262,GC_풀매수,
